NAME2,Year,Developed,Cropland,Pasture,Grass/Shrub,Tree Cover,Freshwater Wetlands,Estuarine Wetlands,Barren,Beaches/ Dunes
EWA,2013,123.32,38.71,28.55,75.08,175.05,2.72,0.74,1.05,0.2
EWA,2019,126.76,36.73,26.48,77.56,174.17,2.72,0.63,0.94,0.2
EWA,2016,125.23,38.66,28.55,74.28,174.13,2.72,0.74,0.86,0.2
HALELEA,2013,3.07,1.64,4.83,35.31,171.94,12.33,0.07,0.1,0.23
HALELEA,2019,3.17,2.06,4.83,33.85,173.37,12.33,0.11,0.08,0.23
HALELEA,2016,3.08,1.64,4.83,34.64,172.64,12.33,0.11,0.1,0.23
HAMAKUA,2013,2.14,63.41,440.34,60.45,119.35,44.89,0.89,35.66,0
HAMAKUA,2019,2.4,62.79,438.44,60.93,121.55,44.89,0.89,35.53,0
HAMAKUA,2016,2.13,63.41,440.34,60.63,119.19,44.89,0.89,35.65,0
HAMAKUALOA,2013,3.99,1.91,46.75,16.7,53.87,37.84,0.08,0.21,0.05
HAMAKUALOA,2019,4.21,0.52,47.1,16.66,54.47,37.84,0.1,0.16,0.05
HAMAKUALOA,2016,3.96,1.91,46.75,16.28,54.29,37.84,0.08,0.21,0.05
HAMAKUAPOKO,2013,12.73,94.49,35.66,25.63,7.19,0.55,0.12,0.18,0.24
HAMAKUAPOKO,2019,12.62,7.19,59.66,88.7,7.58,0.55,0.12,0.21,0.24
HAMAKUAPOKO,2016,12.83,94.49,35.66,25.22,7.46,0.55,0.11,0.17,0.24
HANA,2013,0.44,0.34,9.96,17.33,30.82,37.44,0.02,0.09,0.02
HANA,2019,0.41,0.76,10.3,16.47,30.91,37.44,0.05,0.08,0.02
HANA,2016,0.43,0.34,9.96,16.9,31.26,37.44,0.02,0.09,0.02
HILO,2013,32.7,61.03,102.74,474.32,743.56,155.71,4.18,212.59,0.05
HILO,2019,32.08,63.02,100.23,471.83,746.89,155.71,4.11,212.28,0.05
HILO,2016,32.62,61.03,102.72,472.62,745.3,155.71,4.2,212.44,0.05
HONUAULA,2013,5.68,0.13,93.86,19.42,3.35,0,0.81,21.88,0.09
HONUAULA,2019,5.58,0.18,93.81,19.46,3.79,0,0.66,21.56,0.09
HONUAULA,2016,5.71,0.13,93.86,19.43,3.56,0,0.82,21.61,0.09
KAANAPALI,2013,4.38,2.23,0,32.52,64.78,5.24,0.06,0.08,0.07
KAANAPALI,2019,4.17,2.52,0,30.43,67.2,5.24,0.05,0.1,0.07
KAANAPALI,2016,4.41,2.23,0,31.2,66.08,5.24,0.06,0.08,0.07
KAHIKINUI,2013,0,0,69.11,29.37,1.73,0,0.25,6.53,0
KAHIKINUI,2019,0,0,69.11,29.52,1.87,0,0.24,6.37,0
KAHIKINUI,2016,0,0,69.11,29.5,1.75,0,0.24,6.44,0
KALAWA,2013,0,0.01,2.34,17.54,79.08,12.4,0.02,0.04,0.02
KALAWA,2019,0,0.01,2.34,17.12,79.83,12.4,0.02,0.04,0.02
KALAWA,2016,0,0.01,2.34,17.25,79.42,12.4,0.03,0.04,0.02
KALUAKOI,2013,0.42,0,48.14,96.6,6.87,0.2,0.57,1.84,0.21
KALUAKOI,2019,0.43,0,47.74,95.94,8.19,0.2,0.74,1.86,0.21
KALUAKOI,2016,0.42,0,48.14,96.59,6.9,0.2,0.59,1.84,0.21
KAU,2013,1.19,39.82,377.42,608.84,454.66,0.13,15.64,784.87,0
KAU,2019,1.45,40.69,376.72,599.38,466.86,0.13,15.96,779.27,0
KAU,2016,1.14,39.82,377.42,600.41,463.57,0.13,15.8,783.51,
KAUPO,2013,0,0,41.66,68.33,10.94,8.9,0.49,13.26,0.03
KAUPO,2019,0,0,41.66,67.75,11.24,8.9,0.59,13.12,0.03
KAUPO,2016,0,0,41.66,68.07,11.23,8.9,0.49,13.23,0.03
KEALALOLOA,2013,0.88,20.75,0.29,62.5,23.85,1.32,0.05,0.1,0.52
KEALALOLOA,2019,0.84,3.36,1.59,75.2,26.73,1.32,0.12,0.07,0.52
KEALALOLOA,2016,0.91,20.75,0.29,61.17,25.17,1.32,0.13,0.11,0.52
KIPAHULU,2013,0,0.24,3.47,8.11,28.1,22.93,0,0.01,0.01
KIPAHULU,2019,0,0.24,3.46,7.94,28.32,22.93,0.01,0.01,0.01
KIPAHULU,2016,0,0.24,3.47,8.05,28.16,22.93,0,0.01,0.01
KOHALA,2013,13.08,10.95057,737.09428,652.03,99.84,25.36,8.24,391.15,0.06
KOHALA,2019,12.79,10.98,736.99,652.69,99.47,25.36,8.65,390.01,0.06
KOHALA,2016,13.2,10.95,737.09,651.24,100.64,25.36,8.29,390.58,0.06
KONA HAW,2013,19.03,49.28503,525.22937,725.94,373.59,0.04,13.34,496.36,0
KONA HAW,2019,18.65,51.42,524.71,712.25,386.36,0.04,14.44,494.31,0
KONA HAW,2016,19.08,49.29,525.23,720.31,379.82,0.04,13.34,495.64,0
KONA KAH,2013,0.01,0,0,38.82,1.12,0,0.95,10.22,0
KONA KAH,2019,0,0,0,38.87,1.22,0,0.72,10.22,0
KONA KAH,2016,0.01,0,0,38.8,1.15,0,0.94,10.22,0
KONA KAU,2013,10.13,48.22,65.4,137.32,221.27,22.11,2.22,5.9,0.38
KONA KAU,2019,10.12,52.98,65.29,133.86,221.11,22.11,2.27,5.8,0.38
KONA KAU,2016,10.31,48.22,65.4,136.04,222.46,22.11,2.25,5.86,0.38
KONA LAN,2013,2.03,0.26,0,166.95,14.55,0,0.67,2.76,0.01
KONA LAN,2019,1.98,0.42,0,163.2,18.02,0,0.64,2.82,0.01
KONA LAN,2016,1.99,0.26,0,164.96,16.52,0,0.67,2.76,0.01
KONA MOL,2013,1.9,0.27,46.71,74.16,47.31,10.29,0.56,1.66,0.11
KONA MOL,2019,1.9,0.28,46.68,72.06,49.96,10.29,1.18,1.48,0.11
KONA MOL,2016,1.9,0.27,46.71,73.14,48.62,10.29,1.08,1.57,0.11
KONA NIH,2013,0,0,0,0,0,0,0,0,1.93
KONA NIH,2019,0,0,0,0,0,0,0,0,1.93
KONA OAH,2019,67.53,0.01,0,19.36,80.4,1.34,0.11,0.14,0.09
KONA OAH,2016,67.53,0,0,19.36,80.29,1.34,0.11,0.16,0.09
KONA OAH,2013,67.52,0,0,19.43,80.23,1.34,0.06,0.16,0.09
KONA OAH,2016,67.24,0,0,19.28,80.25,1.34,0.06,0.12,0.09
KOOLAU KAH,2013,0.01,0,0,47.92,1.98,0,1.2,8.94,0
KOOLAU KAH,2019,0.01,0,0,47.83,2.15,0,1.09,9.03,0
KOOLAU KAH,2016,0,0,0,47.76,2.14,0,1.2,8.93,0
KOOLAU KAU,2013,1.74,4.71,16.9,24.42,58.72,1.13,0.09,0.06,0.14
KOOLAU KAU,2019,1.72,4.99,16.76,23.44,59.77,1.13,0.11,0.06,0.14
KOOLAU KAU,2016,1.75,4.71,16.9,23.89,59.22,1.13,0.09,0.06,0.14
KOOLAU LAN,2013,0,0,0,143.6,24.22,0,1.45,3.57,0.24
KOOLAU LAN,2019,0.01,0,0,138.96,29.42,0,1.11,3.87,0.24
KOOLAU LAN,2016,0,0,0,141.16,26.69,0,1.46,3.54,0.24
KOOLAU MAU,2013,0.01,0.13,2.32,27.69,74.58,124.9,0.46,13.72,0.03
KOOLAU MAU,2019,0.01,0.12,2.32,27.63,74.7,124.9,0.48,13.65,0.03
KOOLAU MAU,2016,0.01,0.13,2.32,27.68,74.61,124.9,0.48,13.71,0.03
KOOLAU MOL,2013,0.19,0.62,22.94,56.81,19.48,0.37,0.4,1.5,0.03
KOOLAU MOL,2019,0.17,0.79,22.87,54.72,21.56,0.37,0.35,1.37,0.03
KOOLAU MOL,2016,0.18,0.62,22.94,55.47,20.84,0.37,0.4,1.49,0.03
KOOLAU NIH,2013,0,0,0,0,0,0,0,0,0.03
KOOLAU NIH,2019,0,0,0,0,0,0,0,0,0.03
KOOLAULOA,2013,5.71,7.3,7.3,23.64,159.73,3.41,0.11,0.37,0.36
KOOLAULOA,2019,5.72,7.41,7.27,22.95,160.31,3.41,0.16,0.37,0.36
KOOLAULOA,2016,5.8,7.3,7.29,23.01,160.22,3.41,0.15,0.33,0.36
KOOLAUPOKO,2019,44.62,3.26,4.7,50.81,85.36,4.93,0.9,0.67,0.56
KOOLAUPOKO,2016,45.66,3.03,4.7,51.7,84.83,4.95,0.9,0.66,0.56
KOOLAUPOKO,2013,45.59,3.03,4.7,52.68,83.93,4.95,0.51,0.66,0.56
KOOLAUPOKO,2016,45.64,3.03,4.7,51.39,84.61,4.95,0.85,0.52,0.56
KULA,2013,10.64,49.94,125.49,51,31.05,0.71,0.16,8.67,0.44
KULA,2019,10.68,11.02,127.03,86.56,33.01,0.71,0.2,8.73,0.44
KULA,2016,10.68,49.94,125.49,49.75,32.24,0.71,0.18,8.67,0.44
LAHAINA,2013,5.7,0.32,1.88,49.09,25.49,0.41,0.03,0.02,0.13
LAHAINA,2019,5.66,0.34,1.88,47.74,26.38,0.41,0.03,0.04,0.13
LAHAINA,2016,5.88,0.32,1.88,48.39,25.95,0.41,0.03,0.03,0.13
MANA,2013,2.07,19.06,8.33,43.9,29.13,5.51,0.69,1.29,0.21
MANA,2019,1.99,22.13,8.33,42.4,30.47,5.51,0.67,1.16,0.21
MANA,2016,2.08,19.06,8.33,43.09,29.96,5.51,0.67,1.26,0.21
NAPALI,2013,0,0.11,0,28.9,68.75,0.01,0.65,1.34,0.1
NAPALI,2019,0,0.11,0,27.07,70.54,0.01,0.66,1.29,0.1
NAPALI,2016,0,0.11,0,28.12,69.54,0.01,0.64,1.33,0.1
PALAAU,2013,1.04,13.64,34.7,45.13,16.72,2.88,0.13,0.06,0.96
PALAAU,2019,0.89,14.62,33.59,44.88,17.25,2.88,2.92,0.05,0.96
PALAAU,2016,0.99,13.64,34.7,44.72,17.15,2.88,2.77,0.06,0.96
PUNA HAW,2013,6.03,22.73095,58.57234,290.88,752.38,0.16,3.71,189.79,0.01
PUNA HAW,2019,6.23,24.1,58.08,277.94,732.88,0.16,6.6,210.54,0.01
PUNA HAW,2016,6.01,22.73,58.57,283.61,742.96,0.16,4.66,203.42,0.01
PUNA KAU,2013,18.62,12.61,74.45,76.69,165.34,6.27,0.4,0.34,0.27
PUNA KAU,2019,18.5,12.94,75,73.57,167.85,6.27,0.43,0.35,0.27
PUNA KAU,2016,18.59,12.61,74.45,75.31,166.73,6.27,0.53,0.34,0.27
PUNA NIH,2013,0,0,0,0,0,0,0,0,4.66
PUNA NIH,2019,0,0,0,0,0,0,0,0,4.66
WAIALUA,2013,13.86,39.32,31.08,63.61,185.14,2.39,0.15,0.34,0.21
WAIALUA,2019,14.04,43.59,31.06,56.86,187.18,2.39,0.15,0.32,0.21
WAIALUA,2016,13.91,39.16,31.06,62.55,186.06,2.39,0.14,0.3,0.21
WAIANAE,2013,17.55,2.36,3.16,64.47,65.11,1.29,0.29,0.75,0.19
WAIANAE,2019,17.62,2.62,3.06,64.13,64.96,1.29,0.34,0.59,0.19
WAIANAE,2016,17.68,2.36,3.16,64.97,64.57,1.29,0.27,0.66,0.19
WAILUKU,2013,18.49,4.93,8.21,44.39,66.81,5.14,0.09,0.24,0.07
WAILUKU,2019,18.94,4.95,8.21,41.44,69.14,5.14,0.1,0.23,0.07
WAILUKU,2016,18.98,4.93,8.21,41.72,68.79,5.14,0.09,0.24,0.07