"year","island","ecosystem_type","species_group","exchange_value","withheld"
2005,"Hawaii","All Ecosystems","Herbivore",300588.771010829,FALSE
2005,"Hawaii","Reef","Herbivore",300588.771010829,FALSE
2005,"Hawaii","Open Ocean","Herbivore",0,FALSE
2005,"Kauai","All Ecosystems","Herbivore",73724.1943065226,FALSE
2005,"Kauai","Reef","Herbivore",73724.1943065226,FALSE
2005,"Kauai","Open Ocean","Herbivore",0,FALSE
2005,"Lanai","All Ecosystems","Herbivore",8315.04691017696,FALSE
2005,"Lanai","Reef","Herbivore",8315.04691017696,FALSE
2005,"Lanai","Open Ocean","Herbivore",0,FALSE
2005,"Maui","All Ecosystems","Herbivore",131057.176534386,FALSE
2005,"Maui","Reef","Herbivore",131057.176534386,FALSE
2005,"Maui","Open Ocean","Herbivore",0,FALSE
2005,"Molokai","All Ecosystems","Herbivore",71245.3550439017,FALSE
2005,"Molokai","Reef","Herbivore",71245.3550439017,FALSE
2005,"Molokai","Open Ocean","Herbivore",0,FALSE
2005,"Oahu","All Ecosystems","Herbivore",316375.55467451,FALSE
2005,"Oahu","Reef","Herbivore",316375.55467451,FALSE
2005,"Oahu","Open Ocean","Herbivore",0,FALSE
2006,"Hawaii","All Ecosystems","Herbivore",479514.304195291,FALSE
2006,"Hawaii","Reef","Herbivore",479514.304195291,FALSE
2006,"Hawaii","Open Ocean","Herbivore",0,FALSE
2006,"Kauai","All Ecosystems","Herbivore",117619.030229652,FALSE
2006,"Kauai","Reef","Herbivore",117619.030229652,FALSE
2006,"Kauai","Open Ocean","Herbivore",0,FALSE
2006,"Lanai","All Ecosystems","Herbivore",13259.726998305,FALSE
2006,"Lanai","Reef","Herbivore",13259.726998305,FALSE
2006,"Lanai","Open Ocean","Herbivore",0,FALSE
2006,"Maui","All Ecosystems","Herbivore",208992.49286107,FALSE
2006,"Maui","Reef","Herbivore",208992.49286107,FALSE
2006,"Maui","Open Ocean","Herbivore",0,FALSE
2006,"Molokai","All Ecosystems","Herbivore",113612.583065914,FALSE
2006,"Molokai","Reef","Herbivore",113612.583065914,FALSE
2006,"Molokai","Open Ocean","Herbivore",0,FALSE
2006,"Oahu","All Ecosystems","Herbivore",504271.895359347,FALSE
2006,"Oahu","Reef","Herbivore",504271.895359347,FALSE
2006,"Oahu","Open Ocean","Herbivore",0,FALSE
2007,"Hawaii","All Ecosystems","Herbivore",386309.372823637,FALSE
2007,"Hawaii","Reef","Herbivore",386309.372823637,FALSE
2007,"Hawaii","Open Ocean","Herbivore",0,FALSE
2007,"Kauai","All Ecosystems","Herbivore",94767.9086047077,FALSE
2007,"Kauai","Reef","Herbivore",94767.9086047077,FALSE
2007,"Kauai","Open Ocean","Herbivore",0,FALSE
2007,"Lanai","All Ecosystems","Herbivore",10677.3370533182,FALSE
2007,"Lanai","Reef","Herbivore",10677.3370533182,FALSE
2007,"Lanai","Open Ocean","Herbivore",0,FALSE
2007,"Maui","All Ecosystems","Herbivore",168290.288946076,FALSE
2007,"Maui","Reef","Herbivore",168290.288946076,FALSE
2007,"Maui","Open Ocean","Herbivore",0,FALSE
2007,"Molokai","All Ecosystems","Herbivore",91486.0345954285,FALSE
2007,"Molokai","Reef","Herbivore",91486.0345954285,FALSE
2007,"Molokai","Open Ocean","Herbivore",0,FALSE
2007,"Oahu","All Ecosystems","Herbivore",405811.30413247,FALSE
2007,"Oahu","Reef","Herbivore",405811.30413247,FALSE
2007,"Oahu","Open Ocean","Herbivore",0,FALSE
2008,"Hawaii","All Ecosystems","Herbivore",340139.372104605,FALSE
2008,"Hawaii","Reef","Herbivore",340139.372104605,FALSE
2008,"Hawaii","Open Ocean","Herbivore",0,FALSE
2008,"Kauai","All Ecosystems","Herbivore",83452.1300318403,FALSE
2008,"Kauai","Reef","Herbivore",83452.1300318403,FALSE
2008,"Kauai","Open Ocean","Herbivore",0,FALSE
2008,"Lanai","All Ecosystems","Herbivore",9396.38756398054,FALSE
2008,"Lanai","Reef","Herbivore",9396.38756398054,FALSE
2008,"Lanai","Open Ocean","Herbivore",0,FALSE
2008,"Maui","All Ecosystems","Herbivore",148100.670634929,FALSE
2008,"Maui","Reef","Herbivore",148100.670634929,FALSE
2008,"Maui","Open Ocean","Herbivore",0,FALSE
2008,"Molokai","All Ecosystems","Herbivore",80510.5461649944,FALSE
2008,"Molokai","Reef","Herbivore",80510.5461649944,FALSE
2008,"Molokai","Open Ocean","Herbivore",0,FALSE
2008,"Oahu","All Ecosystems","Herbivore",356885.329792195,FALSE
2008,"Oahu","Reef","Herbivore",356885.329792195,FALSE
2008,"Oahu","Open Ocean","Herbivore",0,FALSE
2009,"Hawaii","All Ecosystems","Herbivore",245265.284182675,FALSE
2009,"Hawaii","Reef","Herbivore",245265.284182675,FALSE
2009,"Hawaii","Open Ocean","Herbivore",0,FALSE
2009,"Kauai","All Ecosystems","Herbivore",60180.0324559153,FALSE
2009,"Kauai","Reef","Herbivore",60180.0324559153,FALSE
2009,"Kauai","Open Ocean","Herbivore",0,FALSE
2009,"Lanai","All Ecosystems","Herbivore",6773.18487188107,FALSE
2009,"Lanai","Reef","Herbivore",6773.18487188107,FALSE
2009,"Lanai","Open Ocean","Herbivore",0,FALSE
2009,"Maui","All Ecosystems","Herbivore",106755.198743101,FALSE
2009,"Maui","Reef","Herbivore",106755.198743101,FALSE
2009,"Maui","Open Ocean","Herbivore",0,FALSE
2009,"Molokai","All Ecosystems","Herbivore",58034.304098097,FALSE
2009,"Molokai","Reef","Herbivore",58034.304098097,FALSE
2009,"Molokai","Open Ocean","Herbivore",0,FALSE
2009,"Oahu","All Ecosystems","Herbivore",257138.719380918,FALSE
2009,"Oahu","Reef","Herbivore",257138.719380918,FALSE
2009,"Oahu","Open Ocean","Herbivore",0,FALSE
2010,"Hawaii","All Ecosystems","Herbivore",378892.400867282,FALSE
2010,"Hawaii","Reef","Herbivore",378892.400867282,FALSE
2010,"Hawaii","Open Ocean","Herbivore",0,FALSE
2010,"Kauai","All Ecosystems","Herbivore",92967.9769770225,FALSE
2010,"Kauai","Reef","Herbivore",92967.9769770225,FALSE
2010,"Kauai","Open Ocean","Herbivore",0,FALSE
2010,"Lanai","All Ecosystems","Herbivore",10463.2842309272,FALSE
2010,"Lanai","Reef","Herbivore",10463.2842309272,FALSE
2010,"Lanai","Open Ocean","Herbivore",0,FALSE
2010,"Maui","All Ecosystems","Herbivore",164916.506592853,FALSE
2010,"Maui","Reef","Herbivore",164916.506592853,FALSE
2010,"Maui","Open Ocean","Herbivore",0,FALSE
2010,"Molokai","All Ecosystems","Herbivore",89651.9776749886,FALSE
2010,"Molokai","Reef","Herbivore",89651.9776749886,FALSE
2010,"Molokai","Open Ocean","Herbivore",0,FALSE
2010,"Oahu","All Ecosystems","Herbivore",397224.812499507,FALSE
2010,"Oahu","Reef","Herbivore",397224.812499507,FALSE
2010,"Oahu","Open Ocean","Herbivore",0,FALSE
2011,"Hawaii","All Ecosystems","Herbivore",194737.429067026,FALSE
2011,"Hawaii","Reef","Herbivore",194737.429067026,FALSE
2011,"Hawaii","Open Ocean","Herbivore",0,FALSE
2011,"Kauai","All Ecosystems","Herbivore",47786.567753239,FALSE
2011,"Kauai","Reef","Herbivore",47786.567753239,FALSE
2011,"Kauai","Open Ocean","Herbivore",0,FALSE
2011,"Lanai","All Ecosystems","Herbivore",5375.78095330974,FALSE
2011,"Lanai","Reef","Herbivore",5375.78095330974,FALSE
2011,"Lanai","Open Ocean","Herbivore",0,FALSE
2011,"Maui","All Ecosystems","Herbivore",84730.0900426441,FALSE
2011,"Maui","Reef","Herbivore",84730.0900426441,FALSE
2011,"Maui","Open Ocean","Herbivore",0,FALSE
2011,"Molokai","All Ecosystems","Herbivore",46061.0056436406,FALSE
2011,"Molokai","Reef","Herbivore",46061.0056436406,FALSE
2011,"Molokai","Open Ocean","Herbivore",0,FALSE
2011,"Oahu","All Ecosystems","Herbivore",203985.670770243,FALSE
2011,"Oahu","Reef","Herbivore",203985.670770243,FALSE
2011,"Oahu","Open Ocean","Herbivore",0,FALSE
2012,"Hawaii","All Ecosystems","Herbivore",287989.844136397,FALSE
2012,"Hawaii","Reef","Herbivore",287989.844136397,FALSE
2012,"Hawaii","Open Ocean","Herbivore",0,FALSE
2012,"Kauai","All Ecosystems","Herbivore",70677.2989885761,FALSE
2012,"Kauai","Reef","Herbivore",70677.2989885761,FALSE
2012,"Kauai","Open Ocean","Herbivore",0,FALSE
2012,"Lanai","All Ecosystems","Herbivore",7946.5498741225,FALSE
2012,"Lanai","Reef","Herbivore",7946.5498741225,FALSE
2012,"Lanai","Open Ocean","Herbivore",0,FALSE
2012,"Maui","All Ecosystems","Herbivore",125249.129793546,FALSE
2012,"Maui","Reef","Herbivore",125249.129793546,FALSE
2012,"Maui","Open Ocean","Herbivore",0,FALSE
2012,"Molokai","All Ecosystems","Herbivore",68087.9823375382,FALSE
2012,"Molokai","Reef","Herbivore",68087.9823375382,FALSE
2012,"Molokai","Open Ocean","Herbivore",0,FALSE
2012,"Oahu","All Ecosystems","Herbivore",301360.19611654,FALSE
2012,"Oahu","Reef","Herbivore",301360.19611654,FALSE
2012,"Oahu","Open Ocean","Herbivore",0,FALSE
2013,"Hawaii","All Ecosystems","Herbivore",304381.810545422,FALSE
2013,"Hawaii","Reef","Herbivore",304381.810545422,FALSE
2013,"Hawaii","Open Ocean","Herbivore",0,FALSE
2013,"Kauai","All Ecosystems","Herbivore",74706.0316709981,FALSE
2013,"Kauai","Reef","Herbivore",74706.0316709981,FALSE
2013,"Kauai","Open Ocean","Herbivore",0,FALSE
2013,"Lanai","All Ecosystems","Herbivore",8396.13493079759,FALSE
2013,"Lanai","Reef","Herbivore",8396.13493079759,FALSE
2013,"Lanai","Open Ocean","Herbivore",0,FALSE
2013,"Maui","All Ecosystems","Herbivore",132335.241125975,FALSE
2013,"Maui","Reef","Herbivore",132335.241125975,FALSE
2013,"Maui","Open Ocean","Herbivore",0,FALSE
2013,"Molokai","All Ecosystems","Herbivore",71940.1370314637,FALSE
2013,"Molokai","Reef","Herbivore",71940.1370314637,FALSE
2013,"Molokai","Open Ocean","Herbivore",0,FALSE
2013,"Oahu","All Ecosystems","Herbivore",318274.1892351,FALSE
2013,"Oahu","Reef","Herbivore",318274.1892351,FALSE
2013,"Oahu","Open Ocean","Herbivore",0,FALSE
2014,"Hawaii","All Ecosystems","Herbivore",292404.44818487,FALSE
2014,"Hawaii","Reef","Herbivore",292404.44818487,FALSE
2014,"Hawaii","Open Ocean","Herbivore",0,FALSE
2014,"Kauai","All Ecosystems","Herbivore",71770.5562590605,FALSE
2014,"Kauai","Reef","Herbivore",71770.5562590605,FALSE
2014,"Kauai","Open Ocean","Herbivore",0,FALSE
2014,"Lanai","All Ecosystems","Herbivore",8063.80983064545,FALSE
2014,"Lanai","Reef","Herbivore",8063.80983064545,FALSE
2014,"Lanai","Open Ocean","Herbivore",0,FALSE
2014,"Maui","All Ecosystems","Herbivore",127097.316459051,FALSE
2014,"Maui","Reef","Herbivore",127097.316459051,FALSE
2014,"Maui","Open Ocean","Herbivore",0,FALSE
2014,"Molokai","All Ecosystems","Herbivore",69092.6943163348,FALSE
2014,"Molokai","Reef","Herbivore",69092.6943163348,FALSE
2014,"Molokai","Open Ocean","Herbivore",0,FALSE
2014,"Oahu","All Ecosystems","Herbivore",305579.870850421,FALSE
2014,"Oahu","Reef","Herbivore",305579.870850421,FALSE
2014,"Oahu","Open Ocean","Herbivore",0,FALSE
2015,"Hawaii","All Ecosystems","Herbivore",215166.209918795,FALSE
2015,"Hawaii","Reef","Herbivore",215166.209918795,FALSE
2015,"Hawaii","Open Ocean","Herbivore",0,FALSE
2015,"Kauai","All Ecosystems","Herbivore",52818.9082420696,FALSE
2015,"Kauai","Reef","Herbivore",52818.9082420696,FALSE
2015,"Kauai","Open Ocean","Herbivore",0,FALSE
2015,"Lanai","All Ecosystems","Herbivore",5930.78331575798,FALSE
2015,"Lanai","Reef","Herbivore",5930.78331575798,FALSE
2015,"Lanai","Open Ocean","Herbivore",0,FALSE
2015,"Maui","All Ecosystems","Herbivore",93477.7307208169,FALSE
2015,"Maui","Reef","Herbivore",93477.7307208169,FALSE
2015,"Maui","Open Ocean","Herbivore",0,FALSE
2015,"Molokai","All Ecosystems","Herbivore",50816.4015890842,FALSE
2015,"Molokai","Reef","Herbivore",50816.4015890842,FALSE
2015,"Molokai","Open Ocean","Herbivore",0,FALSE
2015,"Oahu","All Ecosystems","Herbivore",224599.445144842,FALSE
2015,"Oahu","Reef","Herbivore",224599.445144842,FALSE
2015,"Oahu","Open Ocean","Herbivore",0,FALSE
2016,"Hawaii","All Ecosystems","Herbivore",186203.612094413,FALSE
2016,"Hawaii","Reef","Herbivore",186203.612094413,FALSE
2016,"Hawaii","Open Ocean","Herbivore",0,FALSE
2016,"Kauai","All Ecosystems","Herbivore",45711.7993695922,FALSE
2016,"Kauai","Reef","Herbivore",45711.7993695922,FALSE
2016,"Kauai","Open Ocean","Herbivore",0,FALSE
2016,"Lanai","All Ecosystems","Herbivore",5131.25553337729,FALSE
2016,"Lanai","Reef","Herbivore",5131.25553337729,FALSE
2016,"Lanai","Open Ocean","Herbivore",0,FALSE
2016,"Maui","All Ecosystems","Herbivore",80876.0154386861,FALSE
2016,"Maui","Reef","Herbivore",80876.0154386861,FALSE
2016,"Maui","Open Ocean","Herbivore",0,FALSE
2016,"Molokai","All Ecosystems","Herbivore",43965.8520565905,FALSE
2016,"Molokai","Reef","Herbivore",43965.8520565905,FALSE
2016,"Molokai","Open Ocean","Herbivore",0,FALSE
2016,"Oahu","All Ecosystems","Herbivore",194260.756766887,FALSE
2016,"Oahu","Reef","Herbivore",194260.756766887,FALSE
2016,"Oahu","Open Ocean","Herbivore",0,FALSE
2017,"Hawaii","All Ecosystems","Herbivore",144100.765808142,FALSE
2017,"Hawaii","Reef","Herbivore",144100.765808142,FALSE
2017,"Hawaii","Open Ocean","Herbivore",0,FALSE
2017,"Kauai","All Ecosystems","Herbivore",35377.7898523542,FALSE
2017,"Kauai","Reef","Herbivore",35377.7898523542,FALSE
2017,"Kauai","Open Ocean","Herbivore",0,FALSE
2017,"Lanai","All Ecosystems","Herbivore",3970.10618892658,FALSE
2017,"Lanai","Reef","Herbivore",3970.10618892658,FALSE
2017,"Lanai","Open Ocean","Herbivore",0,FALSE
2017,"Maui","All Ecosystems","Herbivore",62574.6208389503,FALSE
2017,"Maui","Reef","Herbivore",62574.6208389503,FALSE
2017,"Maui","Open Ocean","Herbivore",0,FALSE
2017,"Molokai","All Ecosystems","Herbivore",34016.8405599586,FALSE
2017,"Molokai","Reef","Herbivore",34016.8405599586,FALSE
2017,"Molokai","Open Ocean","Herbivore",0,FALSE
2017,"Oahu","All Ecosystems","Herbivore",150256.030380668,FALSE
2017,"Oahu","Reef","Herbivore",150256.030380668,FALSE
2017,"Oahu","Open Ocean","Herbivore",0,FALSE
2018,"Hawaii","All Ecosystems","Herbivore",286937.702586159,FALSE
2018,"Hawaii","Reef","Herbivore",286937.702586159,FALSE
2018,"Hawaii","Open Ocean","Herbivore",0,FALSE
2018,"Kauai","All Ecosystems","Herbivore",70448.5943086545,FALSE
2018,"Kauai","Reef","Herbivore",70448.5943086545,FALSE
2018,"Kauai","Open Ocean","Herbivore",0,FALSE
2018,"Lanai","All Ecosystems","Herbivore",7903.86916955124,FALSE
2018,"Lanai","Reef","Herbivore",7903.86916955124,FALSE
2018,"Lanai","Open Ocean","Herbivore",0,FALSE
2018,"Maui","All Ecosystems","Herbivore",124576.420103025,FALSE
2018,"Maui","Reef","Herbivore",124576.420103025,FALSE
2018,"Maui","Open Ocean","Herbivore",0,FALSE
2018,"Molokai","All Ecosystems","Herbivore",67722.2836248849,FALSE
2018,"Molokai","Reef","Herbivore",67722.2836248849,FALSE
2018,"Molokai","Open Ocean","Herbivore",0,FALSE
2018,"Oahu","All Ecosystems","Herbivore",299060.431165958,FALSE
2018,"Oahu","Reef","Herbivore",299060.431165958,FALSE
2018,"Oahu","Open Ocean","Herbivore",0,FALSE
2019,"Hawaii","All Ecosystems","Herbivore",230850.101320415,FALSE
2019,"Hawaii","Reef","Herbivore",230850.101320415,FALSE
2019,"Hawaii","Open Ocean","Herbivore",0,FALSE
2019,"Kauai","All Ecosystems","Herbivore",56681.6691934122,FALSE
2019,"Kauai","Reef","Herbivore",56681.6691934122,FALSE
2019,"Kauai","Open Ocean","Herbivore",0,FALSE
2019,"Lanai","All Ecosystems","Herbivore",6357.22190635032,FALSE
2019,"Lanai","Reef","Herbivore",6357.22190635032,FALSE
2019,"Lanai","Open Ocean","Herbivore",0,FALSE
2019,"Maui","All Ecosystems","Herbivore",100199.020239934,FALSE
2019,"Maui","Reef","Herbivore",100199.020239934,FALSE
2019,"Maui","Open Ocean","Herbivore",0,FALSE
2019,"Molokai","All Ecosystems","Herbivore",54470.2317020554,FALSE
2019,"Molokai","Reef","Herbivore",54470.2317020554,FALSE
2019,"Molokai","Open Ocean","Herbivore",0,FALSE
2019,"Oahu","All Ecosystems","Herbivore",240455.559950337,FALSE
2019,"Oahu","Reef","Herbivore",240455.559950337,FALSE
2019,"Oahu","Open Ocean","Herbivore",0,FALSE
2020,"Hawaii","All Ecosystems","Herbivore",218694.726205249,FALSE
2020,"Hawaii","Reef","Herbivore",218694.726205249,FALSE
2020,"Hawaii","Open Ocean","Herbivore",0,FALSE
2020,"Kauai","All Ecosystems","Herbivore",53704.8910893824,FALSE
2020,"Kauai","Reef","Herbivore",53704.8910893824,FALSE
2020,"Kauai","Open Ocean","Herbivore",0,FALSE
2020,"Lanai","All Ecosystems","Herbivore",6018.88192923093,FALSE
2020,"Lanai","Reef","Herbivore",6018.88192923093,FALSE
2020,"Lanai","Open Ocean","Herbivore",0,FALSE
2020,"Maui","All Ecosystems","Herbivore",94866.2924046035,FALSE
2020,"Maui","Reef","Herbivore",94866.2924046035,FALSE
2020,"Maui","Open Ocean","Herbivore",0,FALSE
2020,"Molokai","All Ecosystems","Herbivore",51571.2520503695,FALSE
2020,"Molokai","Reef","Herbivore",51571.2520503695,FALSE
2020,"Molokai","Open Ocean","Herbivore",0,FALSE
2020,"Oahu","All Ecosystems","Herbivore",227478.092656576,FALSE
2020,"Oahu","Reef","Herbivore",227478.092656576,FALSE
2020,"Oahu","Open Ocean","Herbivore",0,FALSE
2021,"Hawaii","All Ecosystems","Herbivore",311461.50078201,FALSE
2021,"Hawaii","Reef","Herbivore",311461.50078201,FALSE
2021,"Hawaii","Open Ocean","Herbivore",0,FALSE
2021,"Kauai","All Ecosystems","Herbivore",76494.694049538,FALSE
2021,"Kauai","Reef","Herbivore",76494.694049538,FALSE
2021,"Kauai","Open Ocean","Herbivore",0,FALSE
2021,"Lanai","All Ecosystems","Herbivore",8567.80632130969,FALSE
2021,"Lanai","Reef","Herbivore",8567.80632130969,FALSE
2021,"Lanai","Open Ocean","Herbivore",0,FALSE
2021,"Maui","All Ecosystems","Herbivore",135041.03075955,FALSE
2021,"Maui","Reef","Herbivore",135041.03075955,FALSE
2021,"Maui","Open Ocean","Herbivore",0,FALSE
2021,"Molokai","All Ecosystems","Herbivore",73411.0594808543,FALSE
2021,"Molokai","Reef","Herbivore",73411.0594808543,FALSE
2021,"Molokai","Open Ocean","Herbivore",0,FALSE
2021,"Oahu","All Ecosystems","Herbivore",323602.777639512,FALSE
2021,"Oahu","Reef","Herbivore",323602.777639512,FALSE
2021,"Oahu","Open Ocean","Herbivore",0,FALSE
2022,"Hawaii","All Ecosystems","Herbivore",137357.615483133,FALSE
2022,"Hawaii","Reef","Herbivore",137357.615483133,FALSE
2022,"Hawaii","Open Ocean","Herbivore",0,FALSE
2022,"Kauai","All Ecosystems","Herbivore",33744.9881179013,FALSE
2022,"Kauai","Reef","Herbivore",33744.9881179013,FALSE
2022,"Kauai","Open Ocean","Herbivore",0,FALSE
2022,"Lanai","All Ecosystems","Herbivore",3773.83060742542,FALSE
2022,"Lanai","Reef","Herbivore",3773.83060742542,FALSE
2022,"Lanai","Open Ocean","Herbivore",0,FALSE
2022,"Maui","All Ecosystems","Herbivore",59481.0335372715,FALSE
2022,"Maui","Reef","Herbivore",59481.0335372715,FALSE
2022,"Maui","Open Ocean","Herbivore",0,FALSE
2022,"Molokai","All Ecosystems","Herbivore",32335.1033861871,FALSE
2022,"Molokai","Reef","Herbivore",32335.1033861871,FALSE
2022,"Molokai","Open Ocean","Herbivore",0,FALSE
2022,"Oahu","All Ecosystems","Herbivore",142303.00684318,FALSE
2022,"Oahu","Reef","Herbivore",142303.00684318,FALSE
2022,"Oahu","Open Ocean","Herbivore",0,FALSE
